Id,SquareFootage,TotalRooms,SalePrice
175,4908,5,184000.0
176,5518,6,243000.0
177,5271,7,211000.0
178,4892,6,172500.0
179,6684,3,501837.0
180,2904,3,100000.0
181,3806,6,177000.0
182,4397,6,200100.0
183,2680,4,120000.0
184,5526,6,200000.0
185,3008,4,127000.0
186,7751,7,475000.0
187,3622,5,173000.0
188,3828,6,135000.0
189,3534,4,153337.0
190,4779,2,286000.0
191,6307,6,315000.0
192,3683,6,184000.0
193,4293,5,192000.0
194,4388,5,130000.0
195,2592,4,127000.0
196,3767,6,148500.0
197,5178,5,311872.0
198,7192,6,235000.0
199,4842,6,104000.0
200,5139,5,274900.0
201,3363,4,140000.0
202,3754,5,171500.0
203,3237,4,112000.0
204,2544,2,149000.0
205,3288,4,110000.0
206,4308,5,180500.0
207,4532,5,143900.0
208,3300,4,141000.0
209,5281,6,277000.0
210,3276,4,145000.0
211,2592,3,98000.0
212,3636,5,186000.0
213,4604,6,252678.0
214,2970,4,156000.0
215,3473,5,161750.0
216,3542,3,134450.0
217,4308,5,210000.0
218,3342,4,107000.0
219,4706,5,311500.0
220,3744,4,167240.0
221,4494,4,204900.0
222,5544,7,200000.0
223,3817,6,179900.0
224,2592,3,97000.0
225,7176,5,386250.0
226,3234,6,112000.0
227,6243,7,290000.0
228,2457,4,106000.0
229,2736,4,125000.0
230,4483,4,192500.0
231,3582,4,148000.0
232,7050,7,403000.0
233,2457,4,94500.0
234,2682,4,128200.0
235,4780,7,216500.0
236,2457,4,89500.0
237,4242,5,185500.0
238,4484,6,194500.0
239,5082,5,318000.0
240,3709,5,113000.0
241,4698,5,262500.0
242,2418,3,110500.0
243,3420,4,79000.0
244,3060,5,120000.0
245,5168,6,205000.0
246,5589,5,241500.0
247,4876,6,137000.0
248,4117,3,140000.0
249,4176,6,180000.0
250,5732,6,277000.0
251,3340,4,76500.0
252,4823,4,235000.0
253,4078,6,173000.0
254,3906,5,158000.0
255,3942,4,145000.0
256,5557,7,230000.0
257,4320,6,207500.0
258,4812,6,220000.0
259,4547,6,231500.0
260,1764,3,97000.0
261,4126,4,176000.0
262,6630,6,276000.0
263,2930,4,151000.0
264,3168,4,130000.0
265,2208,3,73000.0
266,4266,5,175500.0
267,3824,6,185000.0
268,4684,7,179500.0
269,2296,3,120500.0
270,3369,5,148000.0
271,4973,6,266000.0
272,4111,3,241500.0
273,5692,7,290000.0
274,4504,5,139000.0
275,2448,3,124500.0
276,4048,6,205000.0
277,4680,5,201000.0
278,2592,3,141000.0
279,6363,6,415298.0
280,5204,7,192000.0
281,4771,6,228500.0
282,3786,4,185000.0
283,3942,4,207500.0
284,4404,5,244600.0
285,4725,4,179200.0
286,3125,5,164700.0
287,4380,5,159000.0
288,2574,4,88000.0
289,2682,4,122000.0
290,3490,4,153575.0
291,4917,6,233230.0
292,4212,8,135900.0
293,4200,5,131000.0
294,5321,6,235000.0
295,4704,4,167000.0
296,3009,4,142500.0
297,4026,6,152000.0
298,4875,6,239000.0
299,4188,6,175000.0
300,3396,4,158500.0
301,3837,3,157000.0
302,5932,7,267000.0
303,4623,5,205000.0
304,2682,4,149900.0
305,8456,6,295000.0
306,6000,5,305900.0
307,5186,7,225000.0
308,3131,4,89500.0
309,2583,2,82500.0
310,5784,5,360000.0
311,3699,6,165600.0
312,2916,3,132000.0
313,3029,4,119900.0
314,6208,5,375000.0
315,4010,5,178000.0
316,3580,6,188500.0
317,5551,7,260000.0
318,5006,6,270000.0
319,6639,7,260000.0
320,4316,5,187500.0
321,6441,8,342643.0
322,6072,7,354000.0
323,6962,7,301000.0
324,3488,4,126175.0
325,6666,8,242000.0
326,2326,3,87000.0
327,5157,3,324000.0
328,4149,5,145250.0
329,5112,7,214500.0
330,2980,4,78000.0
331,5184,8,119000.0
332,3168,4,139000.0
333,6464,5,284000.0
334,4074,4,207000.0
335,4219,6,192000.0
336,5071,5,228950.0
337,5766,5,377426.0
338,4608,5,214000.0
339,4450,5,202500.0
340,3645,4,155000.0
341,4783,7,202900.0
342,2403,3,82000.0
343,2080,4,87500.0
344,5052,4,266000.0
345,2760,5,85000.0
346,4126,4,140200.0
347,2874,3,151500.0
348,4434,5,157500.0
349,4016,5,154000.0
350,7304,7,437154.0
351,5607,4,318061.0
352,4359,4,190000.0
353,2838,4,95000.0
354,2064,3,105900.0
355,4130,3,140000.0
356,3600,5,177500.0
357,3492,5,173000.0
358,3426,5,134000.0
359,3766,4,130000.0
360,4934,6,280000.0
361,2712,3,156000.0
362,3893,4,145000.0
363,3844,7,198500.0
364,2457,4,118000.0
365,3944,6,190000.0
366,3360,4,147000.0
367,4182,5,159000.0
368,3961,4,165000.0
369,3804,3,132000.0
370,3637,4,162000.0
371,4281,6,172400.0
372,3176,6,134432.0
373,2248,3,125000.0
374,3246,4,123000.0
375,4703,7,219500.0
376,2491,2,61000.0
377,2698,3,148000.0
378,6512,7,340000.0
379,5568,3,394432.0
380,4582,6,179000.0
381,4408,5,127000.0
382,3895,4,187750.0
383,4533,6,213500.0
384,2352,3,76000.0
385,5486,6,240000.0
386,3794,4,192000.0
387,3026,6,81000.0
388,3291,4,125000.0
389,4426,5,191000.0
390,6346,6,426000.0
391,3595,5,119000.0
392,4726,6,215000.0
393,1764,4,106500.0
394,2364,3,100000.0
395,2803,3,109000.0
396,3432,4,129000.0
397,2682,3,123000.0
398,4488,6,169500.0
399,3115,3,67000.0
400,4192,4,241000.0
401,3836,3,245500.0
402,3930,5,164990.0
403,2016,3,108000.0
404,5667,7,258000.0
405,3950,6,168000.0
406,4521,5,150000.0
407,3869,4,115000.0
408,4200,6,177000.0
409,5407,6,280000.0
410,5190,6,339750.0
411,3828,4,60000.0
412,3168,4,145000.0
413,4426,5,222000.0
414,3064,3,115000.0
415,5274,6,228000.0
416,4020,5,181134.0
417,3472,5,149500.0
418,6618,7,239000.0
419,3024,5,126000.0
420,3168,4,142000.0
421,4032,4,206300.0
422,4806,5,215000.0
423,2964,3,113000.0
424,6730,7,315000.0
425,3588,3,139000.0
426,3429,5,135000.0
427,4806,4,275000.0
428,2721,4,109008.0
429,3624,4,195400.0
430,4216,5,175000.0
431,2457,4,85400.0
432,3297,5,79900.0
433,3495,4,122500.0
434,4134,6,181000.0
435,1890,2,81000.0
436,4121,6,212000.0
437,2884,3,116000.0
438,2692,3,119000.0
439,1828,3,90350.0
440,3076,4,110000.0
441,7898,4,555000.0
442,4320,6,118000.0
443,4224,5,162900.0
444,3774,4,172500.0
445,4731,7,210000.0
446,4814,4,127500.0
447,5293,5,190000.0
448,4702,7,199900.0
449,3532,5,119500.0
450,3015,4,120000.0
451,2439,3,110000.0
452,4599,4,280000.0
453,4384,6,204000.0
454,3948,6,210000.0
455,5184,6,188000.0
456,3726,5,175500.0
457,3312,5,98000.0
458,4690,3,256000.0
459,3920,4,161000.0
460,3115,4,110000.0
461,4702,6,263435.0
462,2830,4,155000.0
463,2592,4,62383.0
464,4035,5,188700.0
465,3120,5,124000.0
466,4203,4,178740.0
467,3831,3,167000.0
468,4016,5,146500.0
469,4894,5,250000.0
470,4252,6,187000.0
471,4492,3,212000.0
472,4746,6,190000.0
473,2691,3,148000.0
474,5928,4,440000.0
475,4798,4,251000.0
476,2910,3,132500.0
477,4464,5,208900.0
478,7439,6,380000.0
479,5141,5,297000.0
480,3169,3,89471.0
481,5533,5,326000.0
482,5376,4,374000.0
483,4562,6,155000.0
484,3648,4,164000.0
485,2997,4,132500.0
486,3339,4,147000.0
487,3219,5,156000.0
488,4452,5,175000.0
489,5782,5,160000.0
490,1890,2,86000.0
491,2872,5,115000.0
492,3962,4,133000.0
493,3640,6,172785.0
494,3807,5,155000.0
495,1962,3,91300.0
496,2160,3,34900.0
497,9656,7,430000.0
498,4666,6,184000.0
499,2662,4,130000.0
500,2736,3,120000.0
501,3108,5,113000.0
502,4402,6,226700.0
503,3642,3,140000.0
504,5103,3,289000.0
505,3499,6,147000.0
506,4880,6,124500.0
507,4599,6,215000.0
508,3654,4,208300.0
509,3445,5,161000.0
510,3123,4,124500.0
511,3734,3,164900.0
512,4104,4,202665.0
513,2592,4,129900.0
514,3244,5,134000.0
515,2346,3,96500.0
516,6046,6,402861.0
517,4927,6,158000.0
518,5952,6,265000.0
519,4386,6,211000.0
520,5436,5,234000.0
521,2588,5,106250.0
522,3732,5,150000.0
523,4332,5,159000.0
525,6175,6,315750.0
526,3789,5,176000.0
527,2784,3,132000.0
528,6878,6,446261.0
529,1738,3,86000.0
530,7065,7,200624.0
531,4479,5,175000.0
532,3335,5,128000.0
533,1654,3,107500.0
534,668,2,39300.0
535,3535,6,178000.0
536,3811,4,107500.0
537,4328,6,188000.0
538,2592,4,111250.0
539,3369,5,158000.0
540,4783,5,272000.0
541,5514,4,315000.0
542,5539,7,248000.0
543,5010,5,213250.0
544,2257,2,133000.0
545,3646,6,179665.0
546,5570,7,229000.0
547,4335,5,210000.0
548,2304,3,129500.0
549,2475,3,125000.0
550,5100,7,263000.0
551,3207,4,140000.0
552,2784,4,112500.0
553,5143,5,255500.0
554,2252,4,108000.0
555,5090,6,284000.0
556,3089,3,113000.0
557,3276,3,141000.0
558,3309,5,108000.0
559,3621,6,175000.0
560,4488,4,234000.0
561,4176,5,121500.0
562,4167,3,170000.0
563,2988,4,108000.0
564,4511,6,185000.0
565,5685,7,268000.0
566,4100,6,128000.0
567,6130,7,325000.0
568,4587,5,214000.0
569,5760,3,316600.0
570,2829,3,135960.0
571,5184,8,142600.0
572,2592,3,120000.0
573,4230,6,224500.0
574,3244,6,170000.0
575,2590,4,139000.0
576,3264,3,118500.0
577,3815,5,145000.0
578,3804,4,164500.0
579,3473,4,146000.0
580,4640,6,131500.0
581,4002,4,181900.0
582,6126,6,253293.0
583,2448,4,118500.0
584,6787,7,325000.0
585,4030,4,133000.0
586,5924,4,369900.0
587,2492,3,130000.0
588,2560,3,137000.0
589,4383,2,143000.0
590,2456,3,79500.0
591,3934,6,185900.0
592,6314,6,451950.0
593,2448,3,138000.0
594,2544,2,140000.0
595,2772,4,110000.0
596,5466,5,319000.0
597,3420,4,114504.0
598,4062,4,194201.0
599,4724,5,217500.0
600,3828,6,151000.0
601,4866,6,275000.0
602,3530,5,141000.0
603,4738,6,220000.0
604,3000,5,151000.0
605,4482,5,221000.0
606,4740,6,205000.0
607,3120,4,152000.0
608,4912,6,225000.0
609,7353,7,359100.0
610,3087,4,118500.0
611,5746,6,313000.0
612,3096,5,148000.0
613,5043,6,261500.0
614,3360,4,147000.0
615,1890,2,75500.0
616,3044,4,137500.0
617,3801,6,183200.0
618,2496,3,105500.0
619,5478,5,314813.0
620,6006,7,305000.0
621,2592,3,67000.0
622,6750,7,240000.0
623,2940,4,135000.0
624,3780,5,168500.0
625,4312,7,165150.0
626,3348,5,160000.0
627,3822,4,139900.0
628,4196,4,153000.0
629,5200,8,135000.0
630,3948,5,168500.0
631,4136,4,124000.0
632,4662,4,209500.0
633,4208,5,82500.0
634,3168,4,139400.0
635,3168,0,144000.0
636,7715,10,200000.0
637,1864,2,60000.0
638,3585,5,93000.0
639,2388,3,85000.0
640,4654,3,264561.0
641,4554,3,274000.0
642,4915,6,226000.0
643,7360,7,345000.0
644,4020,7,152000.0
645,5298,5,370878.0
646,2943,5,143250.0
647,2096,4,98300.0
648,3282,4,155000.0
649,4434,6,155000.0
650,1890,2,84500.0
651,4143,6,205950.0
652,3775,5,108000.0
653,4312,5,191000.0
654,3694,4,135000.0
655,6335,5,350000.0
656,2709,5,88000.0
657,3159,5,145500.0
658,3780,5,149000.0
659,3828,4,97500.0
660,4458,4,167000.0
661,4663,6,197900.0
662,6525,7,402000.0
663,4176,3,110000.0
664,3500,5,137500.0
665,6271,3,423000.0
666,5278,6,230500.0
667,5781,6,129000.0
668,4766,5,193500.0
669,4062,5,168000.0
670,3060,3,137500.0
671,3690,6,173500.0
672,3410,5,103600.0
673,3624,5,165000.0
674,5155,5,257500.0
675,3408,4,140000.0
676,3737,6,148500.0
677,4643,6,87000.0
678,2352,3,109500.0
679,6138,6,372500.0
680,2964,4,128500.0
681,2769,4,143000.0
682,3833,4,159434.0
683,3873,3,173000.0
684,4962,5,285000.0
685,4873,7,221000.0
686,5370,5,207500.0
687,4396,6,227875.0
688,2755,5,148800.0
689,4257,4,392000.0
690,4086,4,194700.0
691,2544,2,141000.0
692,11076,8,755000.0
693,6248,7,335000.0
694,3219,3,108480.0
695,4005,5,141500.0
696,3386,4,176000.0
697,1848,3,89000.0
698,3276,3,123500.0
699,2682,4,138500.0
700,4173,4,196000.0
701,5400,5,312500.0
702,3492,5,140000.0
703,6386,7,361919.0
704,3984,6,140000.0
705,4441,5,213000.0
706,2184,5,55000.0
707,5291,4,302000.0
708,3972,4,254000.0
709,3640,6,179540.0
710,2684,4,109900.0
711,1728,3,52000.0
712,3215,3,102776.0
713,3684,4,189000.0
714,2880,4,129000.0
715,3683,6,130500.0
716,3764,5,165000.0
717,5826,5,159500.0
718,3532,5,157000.0
719,6147,6,341000.0
720,2913,5,128500.0
721,5226,4,275000.0
722,2544,2,143000.0
723,2592,4,124500.0
724,3881,6,135000.0
725,5094,5,320000.0
726,2592,4,120500.0
727,4240,5,222000.0
728,3696,4,194500.0
729,5136,6,110000.0
730,2836,3,103000.0
731,4827,4,236500.0
732,3160,5,187500.0
733,5215,6,222500.0
734,3152,4,131400.0
735,2844,4,108000.0
736,4416,4,163000.0
737,2080,4,93500.0
738,4495,6,239900.0
739,3600,6,179000.0
740,4320,6,190000.0
741,3128,4,132000.0
742,2736,4,142000.0
743,4047,5,179000.0
744,3448,5,175000.0
745,4011,4,180000.0
746,6572,8,299800.0
747,5464,7,236000.0
748,6520,6,265979.0
749,5160,5,260400.0
750,3058,6,98000.0
751,2856,4,96500.0
752,3300,6,162000.0
753,4467,5,217000.0
754,5226,6,275500.0
755,3078,4,156000.0
756,3671,6,172500.0
757,4402,6,212000.0
758,3444,6,158900.0
759,3746,6,179400.0
760,6380,7,290000.0
761,2592,3,127500.0
762,3747,3,100000.0
763,3850,6,215200.0
764,5982,6,337000.0
765,4482,4,270000.0
766,4510,4,264132.0
767,4408,6,196500.0
768,4483,6,160000.0
769,5532,5,216837.0
770,8208,8,538000.0
771,2574,3,134900.0
772,3276,3,102000.0
773,3263,4,107000.0
774,2736,3,114500.0
775,5881,5,395000.0
776,3612,4,162000.0
777,4842,5,221500.0
778,2652,4,142500.0
779,4040,6,144000.0
780,2983,3,135000.0
781,3743,5,176000.0
782,3967,6,175900.0
783,4273,5,187100.0
784,3317,2,165500.0
785,3710,5,128000.0
786,4056,5,161500.0
787,3990,6,139000.0
788,5124,7,233000.0
789,2703,3,107900.0
790,5006,8,187500.0
791,3435,4,160200.0
792,3153,4,146800.0
793,5143,6,269790.0
794,4488,5,225000.0
795,4502,6,194500.0
796,3778,6,171000.0
797,3230,5,143500.0
798,2319,3,110000.0
799,8206,8,485000.0
800,4267,5,175000.0
801,3992,7,200000.0
802,3588,3,109900.0
803,3640,6,189000.0
804,7378,8,582933.0
805,3192,3,118000.0
806,4273,5,227680.0
807,2940,5,135500.0
808,4476,5,223500.0
809,3196,4,159950.0
810,5125,4,106000.0
811,3658,5,181000.0
812,2544,2,144500.0
813,2628,3,55993.0
814,4326,6,157900.0
815,3186,5,116000.0
816,4971,5,224900.0
817,3024,3,137000.0
818,4946,5,271000.0
819,3114,4,155000.0
820,4074,4,224000.0
821,4078,6,183000.0
822,2808,3,93000.0
823,4313,6,225000.0
824,3756,5,139500.0
825,4467,5,232600.0
826,6246,4,385000.0
827,2352,3,109500.0
828,4322,5,189000.0
829,5265,6,185000.0
830,2966,5,147400.0
831,4176,5,166000.0
832,2920,5,151000.0
833,4599,6,237000.0
834,4548,5,167000.0
835,3432,4,139950.0
836,3201,4,128000.0
837,4677,3,153500.0
838,2457,4,100000.0
839,3297,5,144000.0
840,3168,4,130500.0
841,3636,6,140000.0
842,3728,5,157500.0
843,3457,5,174900.0
844,5400,8,141000.0
845,3708,6,153900.0
846,4792,5,171000.0
847,4290,6,213000.0
848,2592,4,133500.0
849,5623,8,240000.0
850,4238,6,187000.0
851,2544,2,131500.0
852,4185,4,215000.0
853,4210,6,164000.0
854,4017,5,158000.0
855,5321,5,170000.0
856,3120,5,127000.0
857,2992,4,147000.0
858,3664,6,174000.0
859,3830,5,152000.0
860,6362,7,250000.0
861,3764,5,189950.0
862,3117,5,131500.0
863,3234,5,152000.0
864,3444,4,132500.0
865,4116,5,250580.0
866,3006,4,148500.0
867,4930,5,248900.0
868,3280,5,129000.0
869,4587,4,169000.0
870,4948,6,236000.0
871,2682,3,109500.0
872,4168,6,200500.0
873,1925,4,116000.0
874,3136,4,133000.0
875,2938,5,66500.0
876,6404,7,303477.0
877,3144,4,132250.0
878,5910,7,350000.0
879,3419,4,148000.0
880,2592,4,136500.0
881,3270,4,157000.0
882,4590,6,187500.0
883,3994,6,178000.0
884,4774,6,118500.0
885,2676,4,100000.0
886,5116,4,328900.0
887,5050,6,145000.0
888,3602,5,135500.0
889,6651,6,268000.0
890,4515,3,149500.0
891,2520,4,122900.0
892,4284,6,172500.0
893,3195,4,154500.0
894,4149,4,165000.0
895,3070,6,118858.0
896,4372,6,140000.0
897,2853,3,106500.0
898,4480,8,142953.0
899,7058,5,611657.0
900,3384,4,135000.0
901,2574,3,110000.0
902,3604,3,153000.0
903,3801,6,180000.0
904,5010,5,240000.0
905,2680,4,125500.0
906,3182,4,128000.0
907,4895,5,255000.0
908,5131,5,250000.0
909,2668,3,131000.0
910,3710,6,174000.0
911,5653,7,154300.0
912,3804,5,143500.0
913,2798,4,88000.0
914,5005,6,145000.0
915,3060,5,173733.0
916,2730,5,75000.0
917,1440,1,35311.0
918,3592,4,135000.0
919,5358,7,238000.0
920,4012,4,176500.0
921,4370,6,201000.0
922,5672,8,145900.0
923,3948,5,169990.0
924,4838,4,193000.0
925,5058,5,207500.0
926,3378,5,175000.0
927,5929,7,285000.0
928,4788,7,176000.0
929,5329,5,236500.0
930,5436,7,222000.0
931,4398,5,201000.0
932,2775,3,117500.0
933,5715,5,320000.0
934,4500,5,190000.0
935,4723,6,242000.0
936,2094,2,79900.0
937,3576,4,184900.0
938,5055,6,253000.0
939,5315,6,239799.0
940,5838,6,244400.0
941,5184,6,150900.0
942,5112,6,214000.0
943,4320,6,150000.0
944,4896,6,143000.0
945,3507,4,137500.0
946,4706,3,124900.0
947,3432,4,143000.0
948,4874,5,270000.0
949,4488,6,192500.0
950,3923,5,197500.0
951,2592,4,129000.0
952,2758,4,119900.0
953,2304,3,133900.0
954,4720,7,172000.0
955,2905,6,127500.0
956,4895,6,145000.0
957,3019,4,124000.0
958,3171,4,132000.0
959,4011,5,185000.0
960,3528,6,155000.0
961,2574,3,116500.0
962,7074,7,272000.0
963,3900,6,155000.0
964,5400,4,239000.0
965,4605,7,214900.0
966,3751,6,178900.0
967,3344,4,160000.0
968,3294,4,135000.0
969,2536,3,37900.0
970,2778,3,140000.0
971,3104,6,135000.0
972,4016,4,173000.0
973,2754,4,99500.0
974,4284,5,182000.0
975,4766,4,167500.0
976,3437,6,165000.0
977,2178,3,85500.0
978,3723,3,199900.0
979,2682,4,110000.0
980,3363,4,139000.0
981,2942,4,178400.0
982,6449,7,336000.0
983,3798,4,159895.0
984,5708,7,255900.0
985,3468,6,126000.0
986,3492,4,125000.0
987,3755,3,117000.0
988,5810,6,395192.0
989,4908,7,195000.0
990,3922,6,197000.0
991,6180,6,348000.0
992,4400,6,168000.0
993,4524,6,187000.0
994,3750,6,173900.0
995,5136,5,337500.0
996,3207,5,121600.0
997,3150,4,136500.0
998,4326,4,185000.0
999,3161,4,91000.0
1000,3603,4,206000.0
1001,1888,3,82000.0
1002,2073,3,86000.0
1003,4722,5,232000.0
1004,5040,6,136905.0
1005,4354,3,181000.0
1006,2955,5,149900.0
1007,4971,5,163500.0
1008,2730,5,88000.0
1009,5130,5,240000.0
1010,3538,6,102000.0
1011,3262,6,135000.0
1012,3328,6,100000.0
1013,3606,5,165000.0
1014,3066,3,85000.0
1015,3246,3,119200.0
1016,4140,6,227000.0
1017,4512,5,203000.0
1018,3940,2,187500.0
1019,3328,6,160000.0
1020,4374,4,213490.0
1021,3396,4,176000.0
1022,3639,4,194000.0
1023,3408,3,87000.0
1024,4354,4,191000.0
1025,7361,4,287000.0
1026,2646,4,112500.0
1027,3796,4,167500.0
1028,4930,5,293077.0
1029,3520,4,105000.0
1030,3108,5,118000.0
1031,4542,7,160000.0
1032,6591,8,197000.0
1033,6378,8,310000.0
1034,4962,5,230000.0
1035,2828,3,119750.0
1036,1690,4,84000.0
1037,4860,4,315500.0
1038,5581,6,287000.0
1039,3234,5,97000.0
1040,1890,2,80000.0
1041,4740,5,155000.0
1042,4064,6,173000.0
1043,3918,3,196000.0
1044,6133,7,262280.0
1045,7572,7,278000.0
1046,3466,6,139600.0
1047,7728,8,556581.0
1048,2970,4,145000.0
1049,3542,4,115000.0
1050,1860,3,84900.0
1051,3906,5,176485.0
1052,3948,5,200141.0
1053,4770,6,165000.0
1054,4268,5,144500.0
1055,5043,6,255000.0
1056,4239,5,180000.0
1057,4092,4,185850.0
1058,4673,6,248000.0
1059,5472,6,335000.0
1060,4836,5,220000.0
1061,4014,4,213500.0
1062,2682,3,81000.0
1063,5336,7,90000.0
1064,3309,3,110500.0
1065,3462,5,154000.0
1066,5826,6,328000.0
1067,3941,6,178000.0
1068,4002,6,167900.0
1069,5984,8,151400.0
1070,2631,3,135000.0
1071,3144,4,135000.0
1072,3839,6,154000.0
1073,3722,5,91500.0
1074,3542,5,159500.0
1075,3720,4,194000.0
1076,4280,5,219500.0
1077,3728,5,170000.0
1078,3288,4,138800.0
1079,2544,2,155900.0
1080,2970,4,126000.0
1081,3774,5,145000.0
1082,3120,5,133000.0
1083,4377,5,192000.0
1084,3753,4,160000.0
1085,3687,6,187500.0
1086,2928,3,147000.0
1087,2730,5,83500.0
1088,4988,6,252000.0
1089,4388,5,137500.0
1090,3741,3,197000.0
1091,2080,4,92900.0
1092,3104,5,160000.0
1093,4569,6,136500.0
1094,3264,3,146000.0
1095,2808,3,129000.0
1096,3942,5,176432.0
1097,3394,5,127000.0
1098,3250,4,170000.0
1099,3320,4,128000.0
1100,4473,5,157000.0
1101,1166,2,60000.0
1102,2850,4,119500.0
1103,3278,3,135000.0
1104,3043,4,159500.0
1105,3234,6,106000.0
1106,6707,6,325000.0
1107,3794,5,179900.0
1108,4910,6,274725.0
1109,4304,6,181000.0
1110,5508,5,280000.0
1111,4089,6,188000.0
1112,4731,7,205000.0
1113,2448,3,129900.0
1114,3024,3,134500.0
1115,2499,3,117000.0
1116,5202,5,318000.0
1117,3246,6,184100.0
1118,2682,4,130000.0
1119,3735,4,140000.0
1120,3120,4,133700.0
1121,3036,3,118400.0
1122,4656,5,212900.0
1123,2592,4,112000.0
1124,2094,3,118000.0
1125,3348,6,163900.0
1126,3015,3,115000.0
1127,4483,4,174000.0
1128,4590,5,259000.0
1129,4765,7,215000.0
1130,2808,3,140000.0
1131,5084,6,135000.0
1132,2922,4,93500.0
1133,5428,7,117500.0
1134,5168,6,239500.0
1135,4116,6,169000.0
1136,2932,3,102000.0
1137,3536,4,119000.0
1138,2820,3,94000.0
1139,4701,4,196000.0
1140,3249,4,144000.0
1141,2856,3,139000.0
1142,4516,7,197500.0
1143,7122,7,424870.0
1144,3018,4,80000.0
1145,2520,3,80000.0
1146,4194,4,149000.0
1147,3894,5,180000.0
1148,3832,5,174500.0
1149,2794,3,116900.0
1150,3614,4,143000.0
1151,2796,3,124000.0
